UserCardBIN,Segment,mature_rows,approved_rows,fraud_rows,approval_rate,fraud_rate_on_approved
331155,4,9,4,0,0.4444444444444444,0.0
331156,1,10,10,0,1.0,0.0
331156,2,15,12,0,0.8,0.0
331157,1,85,72,0,0.8470588235294118,0.0
331157,2,32,23,0,0.71875,0.0
331157,3,2,0,0,0.0,
331158,1,35,14,0,0.4,0.0
331158,2,2,2,0,1.0,0.0
331158,3,8,7,0,0.875,0.0
331158,4,3,0,0,0.0,
331172,3,1,0,0,0.0,
331177,1,6,5,0,0.8333333333333334,0.0
331177,4,2,0,0,0.0,
331182,4,1,0,0,0.0,
331186,1,17,16,0,0.9411764705882353,0.0
331187,3,2,1,0,0.5,0.0
331188,1,55,46,0,0.8363636363636363,0.0
331188,2,5,5,0,1.0,0.0
331193,2,1,1,0,1.0,0.0
331197,1,7,7,0,1.0,0.0
331199,2,8,5,0,0.625,0.0
331199,4,3,1,0,0.3333333333333333,0.0
331200,1,1,0,0,0.0,
331200,2,15,14,0,0.9333333333333333,0.0
331200,3,6,3,0,0.5,0.0
331200,4,2,1,0,0.5,0.0
331201,1,13,12,0,0.9230769230769231,0.0
331201,2,4,3,0,0.75,0.0
331201,3,2,2,0,1.0,0.0
331202,1,81,65,2,0.8024691358024691,0.03076923076923077
331202,2,26,12,2,0.46153846153846156,0.16666666666666666
331202,3,9,4,1,0.4444444444444444,0.25
331202,4,1,0,0,0.0,
331203,1,32,17,0,0.53125,0.0
331203,2,6,2,0,0.3333333333333333,0.0
331203,3,1,0,0,0.0,
331203,4,1,1,0,1.0,0.0
331204,1,24,17,0,0.7083333333333334,0.0
331204,2,8,5,0,0.625,0.0
331204,3,2,1,0,0.5,0.0
331204,4,5,1,1,0.2,1.0
331205,1,12,11,0,0.9166666666666666,0.0
331205,2,8,2,1,0.25,0.5
331205,3,7,2,0,0.2857142857142857,0.0
331205,4,1,0,0,0.0,
331206,1,97,93,0,0.9587628865979382,0.0
331206,2,8,5,0,0.625,0.0
331206,3,8,8,0,1.0,0.0
331206,4,4,2,0,0.5,0.0
331207,1,1,1,0,1.0,0.0
331207,3,3,3,0,1.0,0.0
331207,4,2,1,0,0.5,0.0
331208,1,102,54,0,0.5294117647058824,0.0
331208,2,14,13,0,0.9285714285714286,0.0
331208,3,4,1,0,0.25,0.0
331209,1,112,105,0,0.9375,0.0
331209,2,2,0,0,0.0,
331209,3,5,2,0,0.4,0.0
331209,4,3,2,0,0.6666666666666666,0.0
331210,1,4,3,0,0.75,0.0
331210,2,2,2,0,1.0,0.0
331210,3,2,1,0,0.5,0.0
331211,1,54,47,0,0.8703703703703703,0.0
331211,2,27,22,0,0.8148148148148148,0.0
331211,3,10,3,0,0.3,0.0
331211,4,9,3,0,0.3333333333333333,0.0
331212,1,131,93,0,0.7099236641221374,0.0
331212,2,12,8,0,0.6666666666666666,0.0
331212,3,2,2,0,1.0,0.0
331212,4,2,1,0,0.5,0.0
331213,1,35,30,0,0.8571428571428571,0.0
331213,2,10,6,0,0.6,0.0
331213,3,28,12,0,0.42857142857142855,0.0
331213,4,1,0,0,0.0,
331214,1,14,13,0,0.9285714285714286,0.0
331214,2,7,5,0,0.7142857142857143,0.0
331214,3,1,1,0,1.0,0.0
331215,1,290,212,0,0.7310344827586207,0.0
331215,2,3,2,0,0.6666666666666666,0.0
331215,3,3,1,0,0.3333333333333333,0.0
331215,4,2,1,0,0.5,0.0
331216,1,107,75,0,0.7009345794392523,0.0
331216,2,21,17,0,0.8095238095238095,0.0
331216,4,6,3,0,0.5,0.0
331217,1,75,59,0,0.7866666666666666,0.0
331217,2,12,11,0,0.9166666666666666,0.0
331217,3,1,1,0,1.0,0.0
331222,1,7,7,0,1.0,0.0
331222,2,1,1,0,1.0,0.0
331229,2,2,1,0,0.5,0.0
331230,3,1,1,0,1.0,0.0
331233,2,3,1,0,0.3333333333333333,0.0
331240,1,4,0,0,0.0,
331241,1,1,1,0,1.0,0.0
331241,2,2,1,0,0.5,0.0
331242,2,1,1,0,1.0,0.0
331242,4,1,0,0,0.0,
331243,2,2,2,0,1.0,0.0
331243,3,1,0,0,0.0,
331247,1,20,17,0,0.85,0.0
331247,2,5,5,0,1.0,0.0
331248,1,1,1,0,1.0,0.0
331253,1,4,2,0,0.5,0.0
331256,2,1,1,0,1.0,0.0
331289,3,1,1,0,1.0,0.0
331289,4,5,3,0,0.6,0.0
331290,1,1,1,0,1.0,0.0
331290,2,7,6,0,0.8571428571428571,0.0
331291,4,10,1,0,0.1,0.0
331292,2,2,2,0,1.0,0.0
331292,4,2,0,0,0.0,
331293,4,2,1,1,0.5,1.0
331294,2,1,0,0,0.0,
331294,3,1,1,0,1.0,0.0
331294,4,6,1,0,0.16666666666666666,0.0
331295,2,9,7,0,0.7777777777777778,0.0
331295,4,4,1,0,0.25,0.0
331296,1,2,0,0,0.0,
331296,4,11,3,0,0.2727272727272727,0.0
331298,1,59,55,0,0.9322033898305084,0.0
331298,2,10,10,0,1.0,0.0
331325,1,2,1,0,0.5,0.0
331407,4,1,0,0,0.0,
331410,2,3,3,0,1.0,0.0
331411,2,11,1,0,0.09090909090909091,0.0
331415,2,1,1,0,1.0,0.0
331423,2,1,0,0,0.0,
331424,2,2,2,0,1.0,0.0
331430,1,10,8,0,0.8,0.0
331431,2,11,11,0,1.0,0.0
331431,3,2,2,0,1.0,0.0
331435,2,2,2,0,1.0,0.0
331435,4,1,1,0,1.0,0.0
331436,2,4,2,0,0.5,0.0
331436,3,3,1,0,0.3333333333333333,0.0
331439,4,2,0,0,0.0,
331440,4,1,0,0,0.0,
331441,2,1,1,1,1.0,1.0
331441,3,1,1,0,1.0,0.0
331442,3,3,1,0,0.3333333333333333,0.0
331444,1,2,2,0,1.0,0.0
331444,2,6,6,0,1.0,0.0
331444,4,4,0,0,0.0,
331445,1,7,4,0,0.5714285714285714,0.0
331445,4,3,1,0,0.3333333333333333,0.0
331446,1,25,20,0,0.8,0.0
331446,2,10,7,0,0.7,0.0
331447,3,1,1,0,1.0,0.0
331448,1,12,12,0,1.0,0.0
331451,4,2,1,0,0.5,0.0
331452,2,3,0,0,0.0,
331452,3,1,1,0,1.0,0.0
331455,2,1,1,0,1.0,0.0
